# KAPUTNIK Flight Data v5
# Sample rate: 500 Hz
# Samples: 4998
# Accel range: +/-16 g
# Gyro range: +/-2000 dps
# Epoch start: 1776861987105
epoch_us,ax,ay,az,gx,gy,gz,gp14,mx,my,mz,mag_valid
1776861987105268,-2029,8,-189,-128,24,17,0,0,0,0,0
1776861987107000,-2025,16,-187,-128,24,14,0,0,0,0,0
1776861987109001,-2023,14,-195,-130,24,13,0,0,0,0,0
1776861987111001,-2026,12,-195,-131,24,15,0,0,0,0,0
1776861987113001,-2026,12,-196,-128,26,17,0,0,0,0,0
1776861987115001,-2025,13,-196,-129,26,17,0,0,0,0,0
1776861987117001,-2026,8,-191,-127,27,16,0,0,0,0,0
1776861987119001,-2020,12,-191,-127,25,16,0,0,0,0,0
1776861987121001,-2020,11,-190,-129,26,16,0,0,0,0,0
1776861987123001,-2020,9,-187,-129,27,17,0,0,0,0,0
1776866282072295,-1,-1,-1,-1,-1,-1,33,78,6656,1528,0
1776866273683497,26,17,0,0,0,0,15,273,5376,2040,0
1776866273749025,23,13,0,0,0,0,224,280,5888,2040,0
1776866273749033,24,14,0,0,0,0,176,288,5888,1528,0
1776866273683496,23,15,0,0,0,0,128,296,5376,2296,0
1776866273749028,21,15,0,0,0,0,80,304,5376,2552,0
1776866273749028,22,17,0,0,0,0,32,312,5120,2296,0
1776866273814567,23,16,0,0,0,0,240,319,6144,2040,0
1776866273814571,22,14,0,0,0,0,192,327,6144,3832,0
1776866273814574,24,15,0,0,0,0,144,335,5632,3576,0
1776866273814566,25,15,0,0,0,0,255,-1,-1,-1,255
1776866282072295,-1,-1,22368,1,-2030,12,63,-32513,6655,3584,0
1776861987105000,0,0,24370,1,-2024,14,64,32767,6911,4096,0
1776861987105000,0,0,26367,1,-2030,8,73,32511,7423,4096,0
1776861987105000,0,0,28367,1,-2024,5,66,32767,6655,4608,0
1776861987105000,0,0,30367,1,-2020,12,63,-32257,5887,3840,0
1776861987105000,0,0,32367,1,-2018,9,62,-32257,6143,3328,0
1776861987105000,0,0,-31169,1,-2019,9,69,-32513,6655,4096,0
1776861987105000,0,0,-29169,1,-2020,12,62,-32513,6911,4608,0
1776861987105000,0,0,-27169,1,-2014,14,60,-32001,6655,4608,0
1776861987105000,0,0,-25169,1,-2017,18,66,-32257,6655,4352,0
1776861987105000,0,0,-1,-1,-1,-1,255,-1,-1,-1,255
1776861987212904,-2013,10,-190,-128,27,16,0,0,0,0,0
1776861987214904,-2019,8,-185,-128,27,14,0,0,0,0,0
1776861987216904,-2022,12,-189,-129,23,15,0,0,0,0,0
1776861987218904,-2024,9,-187,-129,23,15,0,0,0,0,0
1776861987220904,-2025,6,-190,-129,23,16,0,0,0,0,0
1776861987222904,-2026,7,-187,-129,24,17,0,0,0,0,0
1776861987224904,-2021,16,-182,-129,24,15,0,0,0,0,0
1776861987226904,-2021,12,-186,-129,23,15,0,0,0,0,0
1776861987228904,-2014,8,-191,-129,22,15,0,0,0,0,0
1776861987230904,-2017,12,-190,-128,24,17,0,0,0,0,0
