# KAPUTNIK Flight Data v5
# Sample rate: 500 Hz
# Samples: 4844
# Accel range: +/-16 g
# Gyro range: +/-2000 dps
# Epoch start: 1776861432105
epoch_us,ax,ay,az,gx,gy,gz,gp14,mx,my,mz,mag_valid
1776861432105362,-2019,-2,-156,-130,27,14,0,0,0,0,0
1776861432107000,-2022,-1,-158,-130,26,17,0,0,0,0,0
1776861432109000,-2022,-11,-153,-130,25,18,0,0,0,0,0
1776861432111002,-2025,-9,-161,-129,27,18,0,0,0,0,0
1776861432113001,-2025,-7,-149,-127,25,19,0,0,0,0,0
1776861432115000,-2019,-7,-157,-128,23,18,0,0,0,0,0
1776861432117000,-2023,1,-163,-127,22,18,0,0,0,0,0
1776861432119000,-2026,4,-159,-129,23,18,0,0,0,0,0
1776861432121000,-2021,0,-143,-128,25,19,0,0,0,0,0
1776861432123000,-2019,-3,-150,-128,25,19,0,0,0,0,0
1776861432125000,-2021,-1,-151,-129,22,17,208,294,7424,-1800,255
1776865718814603,23,16,0,0,0,0,161,302,8192,-1288,255
1776865718749069,25,14,0,0,0,0,113,310,7168,-2312,255
1776865718617997,26,16,0,0,0,0,65,318,6912,-2056,255
1776865718749070,25,16,0,0,0,0,17,326,6400,-1544,255
1776865718814613,23,16,0,0,0,0,225,333,5376,-2056,255
1776865718749070,23,16,0,0,0,0,177,341,6400,-3080,255
1776865718749063,26,16,0,0,0,0,129,349,6400,-776,255
1776865718683529,26,18,0,0,0,0,81,357,7424,-1800,255
1776865718617986,22,18,0,0,0,0,33,365,6400,-1032,255
1776865718683534,23,16,0,0,0,0,241,372,6144,-264,255
1776865718814604,24,14,31936,1,-2023,-1,100,-32513,6399,3840,0
1776861432105000,0,0,-31600,1,-2024,-3,92,32767,6655,4096,0
1776861432105000,0,0,-29600,1,-2024,-10,89,32767,7167,4096,0
1776861432105000,0,0,-27600,1,-2025,-8,88,-32513,7423,3840,0
1776861432105000,0,0,-25600,1,-2029,-5,88,32767,6911,3328,0
1776861432105000,0,0,-23600,1,-2031,-6,97,-32513,6655,3840,0
1776861432105000,0,0,-21600,1,-2027,-7,107,32767,6143,3840,0
1776861432105000,0,0,-19600,1,-2020,-5,99,32255,6399,4352,0
1776861432105000,0,0,-17600,1,-2018,-4,95,32767,6399,4608,0
1776861432105000,0,0,-15600,1,-2019,-6,100,32767,6399,4608,0
1776861432105000,0,0,-13600,1,-2018,-6,86,32511,6655,4352,0
1776861432224474,-2025,-7,-162,-129,28,16,0,0,0,0,0
1776861432226474,-2017,-6,-163,-129,28,16,0,0,0,0,0
1776861432228474,-2023,-5,-146,-129,26,17,0,0,0,0,0
1776861432230474,-2024,-5,-148,-129,26,16,0,0,0,0,0
1776861432232474,-2025,-7,-157,-129,25,14,0,0,0,0,0
1776861432234474,-2025,-5,-155,-130,25,15,0,0,0,0,0
1776861432236474,-2020,-6,-155,-128,28,16,0,0,0,0,0
1776861432238474,-2021,-8,-159,-127,27,17,0,0,0,0,0
1776861432240474,-2022,-14,-153,-129,25,17,0,0,0,0,0
1776861432242474,-2021,-8,-167,-129,24,16,0,0,0,0,0
1776861432244474,-2021,-8,-162,-128,24,16,162,552,6912,-2056,255
1776865718749065,26,18,0,0,0,0,114,560,6912,-1032,255
1776865718683531,26,17,0,0,0,0,66,568,6656,-1288,255
1776865718683534,25,16,0,0,0,0,18,576,6144,-1032,255
1776865718749061,25,16,0,0,0,0,226,583,5376,-776,255
1776865718683536,24,17,0,0,0,0,178,591,6144,-1288,255
1776865718749063,25,17,0,0,0,0,130,599,6400,-1032,255
1776865718814601,25,17,0,0,0,0,82,607,5120,-776,255
1776865718749060,24,16,0,0,0,0,34,615,6144,-776,255
1776865718683533,26,16,0,0,0,0,242,622,6912,-8,255
1776865718683530,25,16,0,0,0,0,194,630,6144,-8,255
1776865718749072,23,17,32401,2,-2026,-7,94,32255,6143,4608,0
1776861432105000,0,0,-31135,2,-2022,-5,92,32511,6399,4096,0
1776861432105000,0,0,-29135,2,-2021,-4,93,-32513,6655,4096,0
1776861432105000,0,0,-27135,2,-2022,-6,98,-32257,6143,4096,0
1776861432105000,0,0,-25135,2,-2023,-4,96,-32001,6399,4096,0
1776861432105000,0,0,-23135,2,-2021,1,92,-32513,6399,4352,0
1776861432105000,0,0,-21135,2,-2021,-5,94,32767,6143,4352,0
1776861432105000,0,0,-19135,2,-2024,-4,98,-32513,6399,4096,0
1776861432105000,0,0,-17135,2,-2029,-6,103,32767,6399,4096,0
1776861432105000,0,0,-15135,2,-2029,-4,100,-32257,6399,4096,0
1776861432105000,0,0,-13135,2,-2029,-9,95,-32257,7167,4096,0
1776861432290473,-2031,-8,-160,-128,25,17,0,0,0,0,0
1776861432292473,-2025,-5,-158,-127,25,19,0,0,0,0,0
1776861432294473,-2022,-4,-148,-128,25,18,0,0,0,0,0
1776861432296473,-2020,0,-147,-127,23,16,0,0,0,0,0
1776861432298473,-2020,2,-156,-128,22,17,0,0,0,0,0
1776861432300473,-2021,-1,-153,-126,26,18,0,0,0,0,0
1776861432302473,-2022,-1,-153,-127,27,17,0,0,0,0,0
1776861432304473,-2021,-3,-152,-126,25,16,0,0,0,0,0
1776861432306473,-2021,-5,-161,-125,23,16,0,0,0,0,0
1776861432308473,-2023,-7,-164,-126,24,16,0,0,0,0,0
1776861432310473,-2020,-6,-158,-127,26,15,113,810,7168,-1288,255
1776865718749059,27,16,0,0,0,0,65,818,6912,-8,255
1776865718749064,26,16,0,0,0,0,17,826,6400,-520,255
1776865718749069,25,15,0,0,0,0,225,833,6912,-2312,255
1776865718814608,25,15,0,0,0,0,177,841,7168,-1032,255
1776865718814604,26,17,0,0,0,0,129,849,6400,-2312,255
1776865718552451,26,17,0,0,0,0,81,857,7424,-1288,255
1776865718552450,24,17,0,0,0,0,33,865,6144,-1288,255
1776865718617998,25,15,0,0,0,0,241,872,6144,-1288,255
1776865718617991,26,14,0,0,0,0,193,880,6912,-1544,255
1776865718618001,25,16,0,0,0,0,145,888,5632,-2312,255
1776865718683539,24,16,-32672,3,-2026,-13,106,-32257,6655,3584,0
1776861432105000,0,0,-30672,3,-2019,-13,100,-32001,6655,3840,0
1776861432105000,0,0,-28672,3,-2022,-14,99,-32257,6143,4096,0
1776861432105000,0,0,-26672,3,-2023,-7,101,-32513,6399,4352,0
1776861432105000,0,0,-24672,3,-2021,-3,99,32255,6655,4096,0
1776861432105000,0,0,-22672,3,-2026,-6,101,32511,6399,4352,0
1776861432105000,0,0,-20672,3,-2029,-3,97,-32513,6911,4352,0
1776861432105000,0,0,-18672,3,-2024,-3,100,32767,7167,4096,0
1776861432105000,0,0,-16672,3,-2024,-5,95,-32513,6911,4096,0
1776861432105000,0,0,-14672,3,-2023,-6,105,-32513,6143,4096,0
1776861432105000,0,0,-12672,3,-2029,-5,100,-32257,5631,4096,0
1776861432356472,-2025,-10,-160,-127,24,15,0,0,0,0,0
1776861432358472,-2029,-10,-161,-128,26,15,0,0,0,0,0
1776861432360472,-2024,-6,-154,-129,26,17,0,0,0,0,0
1776861432362472,-2021,-7,-157,-128,25,17,0,0,0,0,0
1776861432364472,-2025,-2,-151,-129,25,16,0,0,0,0,0
1776861432366472,-2024,-3,-141,-129,24,17,0,0,0,0,0
1776861432368472,-2016,-6,-153,-127,25,16,0,0,0,0,0
1776861432370472,-2023,-1,-152,-126,25,16,0,0,0,0,0
1776861432372472,-2026,-1,-154,-127,26,17,0,0,0,0,0
1776861432374472,-2028,-4,-160,-128,24,16,0,0,0,0,0
1776861432376472,-2022,-3,-157,-128,21,17,66,1068,5376,760,0
