# KAPUTNIK Flight Data v5
# Sample rate: 500 Hz
# Samples: 4989
# Accel range: +/-16 g
# Gyro range: +/-2000 dps
# Epoch start: 1776861866105
epoch_us,ax,ay,az,gx,gy,gz,gp14,mx,my,mz,mag_valid
1776861866105000,0,0,26135,3,-2028,8,72,32255,7167,3328,0
1776861866105000,0,0,28135,3,-2027,13,69,32511,7167,3840,0
1776861866105000,0,0,30135,3,-2021,5,66,-32513,6399,4096,0
1776861866105000,0,0,32135,3,-2019,8,53,-32257,6655,3840,0
1776861866105000,0,0,-1,-1,-1,-1,255,-1,-1,-1,255
1776861866335744,-2014,8,-199,-127,27,15,0,0,0,0,0
1776861866337744,-2019,13,-189,-129,28,15,0,0,0,0,0
1776861866339744,-2021,12,-198,-128,27,17,0,0,0,0,0
1776861866341744,-2022,18,-201,-126,25,17,0,0,0,0,0
1776861866343744,-2022,11,-191,-128,23,14,0,0,0,0,0
1776861866345744,-2023,13,-188,-130,26,15,0,0,0,0,0
1776861866347744,-2012,10,-184,-129,27,14,0,0,0,0,0
1776861866349744,-2017,8,-187,-128,26,16,0,0,0,0,0
1776861866351744,-2023,12,-187,-130,25,16,0,0,0,0,0
1776861866353744,-2024,13,-195,-130,24,18,0,0,0,0,0
1776866161072295,-1,-1,-1,-1,-1,-1,120,979,6144,2040,0
1776866152749041,24,17,0,0,0,0,72,987,7168,2808,0
1776866152683502,22,18,0,0,0,0,24,995,6912,1784,0
1776866152749040,24,17,0,0,0,0,232,1002,7168,1784,0
1776866152749040,25,16,0,0,0,0,184,1010,6144,2296,0
1776866152617968,24,17,0,0,0,0,136,1018,5376,3064,0
1776866152683515,25,17,0,0,0,0,88,1026,6400,2040,0
1776866152749032,26,17,0,0,0,0,40,1034,7168,2552,0
1776866152749039,27,17,0,0,0,0,248,1041,6400,2296,0
1776866152814570,28,17,0,0,0,0,200,1049,6656,1272,0
1776866152683502,27,18,0,0,0,0,255,-1,-1,-1,255
1776866161072295,-1,-1,8600,4,-2024,9,65,32767,6911,4352,0
1776861866105000,0,0,10601,4,-2026,12,59,32767,6655,3840,0
1776861866105000,0,0,12601,4,-2024,17,69,32767,6399,3840,0
1776861866105000,0,0,14601,4,-2019,16,67,32511,6399,3840,0
1776861866105000,0,0,16601,4,-2024,10,57,32767,5887,3840,0
1776861866105000,0,0,18601,4,-2018,11,57,-32513,6143,4096,0
